Sample,deoxyribose M0 Results,deoxyribose M+1 Results,deoxyribose M+2 Results,deoxyribose M+3 Results,deoxyribose M+4 Results,deoxyribose M+5 Results,deoxyribose M+6 Results,deoxyribose M+7 Results,ribose M+0 Results,ribose M+1 Results,ribose M+2 Results,ribose M+3 Results,ribose M+4 Results,ribose M+5 Results,ribose M+6 Results,ribose M+7 Results
Name,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area
U-13C Glc t01 1,26015.58887,9768.437224,4519.685965,1115.272356,268.9655,46.55934885,8.295807934,0,1711.815608,796.3439806,423.1513481,128.7775601,41.14688641,17.21649218,4.165546986,0
U-13C Glc t01 2,33694.15528,12647.7244,5857.168908,1446.391049,343.4393239,59.88400085,10.11720182,2.186053584,1501.311766,692.6136457,364.9262191,113.881,33.95799149,10.89134125,3.262603294,0
U-13C Glc t01 3,18636.29851,6954.568936,3233.381128,795.5742903,188.8038619,32.12335814,6.321301424,0,1147.251684,519.9829461,282.959,86.6125,29.1945,10.49583518,0,0
U-13C Glc t02 1,26988.70855,10107.13564,4687.910684,1142.052969,273.557,47.68305011,8.709,0,1085.868703,501.5835989,260.9077426,79.55477487,27.67498566,21.9895,6.039883621,3.550499999
U-13C Glc t02 2,24277.69983,9039.893103,4206.37956,1039.452836,249.5847341,44.9281416,8.271499999,0,911.6947072,418.1673195,225.4480312,69.62544144,23.52146781,11.60756865,3.936074033,0
U-13C Glc t02 3,22158.80346,8291.430303,3841.104168,943.8227064,228.4739933,39.22376268,9.3425,1.87472358,2443.638263,1126.862747,616.8404399,205.268,81.95740169,76.61243459,29.68866256,14.03810843
U-13C Glc t04 1,18887.56579,7097.158684,3283.328058,821.0311498,195.3885,37.84319281,7.786,0,799.8943583,369.2078751,200.3386036,66.1970781,,35.12114475,0,7.01731408
U-13C Glc t04 2,22142.32526,8287.689132,3844.689887,952.3653547,228.806369,46.98989645,8.566051516,0,855.0625278,399.9652488,213.4815465,68.25086799,27.7196519,30.27955223,13.237,6.567
U-13C Glc t04 3,20965.8392,7859.779013,3635.12974,901.0246748,218.0415445,40.74804799,8.827997549,3.608052979,769.3249696,352.40344,190.1055909,63.33878134,24.54277576,29.88684179,11.95336931,5.519048882
U-13C Glc t08 1,14325.67587,5363.672596,2500.252105,635.1829594,171.2915,110.4953265,33.67781299,12.95340207,574.194,268.7730241,150.1650563,55.32575677,35.26017288,68.70959309,27.11741168,15.01769492
U-13C Glc t08 2,14534.68935,5439.84376,2535.722686,636.3767073,170.9775185,114.6638528,34.49849702,14.43921132,666.777775,308.6768463,177.6467495,68.7398108,42.99767935,88.952,35.07554487,17.6965339
U-13C Glc t08 3,11455.06732,4280.721975,1994.4963,501.4571221,140.153,94.33834527,30.364,12.3108909,625.6205747,293.8779227,164.9482028,62.0216492,37.28882529,88.21454167,32.73888512,16.606821
U-13C Glc t24 1,17902.08157,6771.256096,3488.729238,1139.935641,817.6755625,2604.332678,842.9236866,395.409,1152.435507,552.646675,361.8079622,196.863651,211.3221526,634.9777791,262.074,128.319975
U-13C Glc t24 2,20651.48473,7820.055249,4051.78152,1342.55906,968.937,2987.177493,977.3832914,450.574445,1007.371662,477.8383593,317.024141,161.9569994,169.734176,499.1912729,209.1538101,102.0152477
U-13C Glc t24 3,17766.46374,6699.980904,3459.888322,1151.882544,819.6019058,2576.283259,837.4407731,380.783069,926.0844385,435.7817599,296.2811913,157.9919908,176.0233273,530.452,217.2650105,108.7765
1-2-13C Glc t01 1,28814.48432,10819.04726,5029.115631,1243.13913,322.8719351,147.2913945,43.39485563,17.1648131,1284.881469,594.4065,318.0174158,97.79645776,32.98438656,24.7524288,0,5.044079919
1-2-13C Glc t01 2,24940.10749,9360.323306,4314.223847,1063.884255,256.7655,47.60921038,10.2165,0,1003.077028,459.5913337,244.0861738,74.92359864,22.384,7.8835,0,0
